Employee ID,Basic Salary,Tax,Bonus,Travel Allowance,Others
1,59047.0,13933,9662,4494,1571
2,,17677,5035,2340,2122
3,67134.0,7667,3899,1350,2566
4,97042.0,14432,5443,2471,1569
5,81310.0,16662,5789,1691,950
6,42363.0,9919,1912,4420,1397
7,74563.0,15559,5242,2562,4228
8,60628.0,15435,8541,3546,581
9,99672.0,16741,2711,4899,1236
10,76246.0,13609,9866,4058,4674
11,41161.0,12642,2439,804,4444
12,32810.0,13798,6613,3347,2707
13,,13759,4630,2935,4448
14,95548.0,5543,6375,3304,2502
15,92363.0,19566,8103,2484,2191
16,41162.0,5883,9877,4436,1679
17,37219.0,19856,5216,1212,3435
18,33621.0,9798,3466,3395,3015
19,74433.0,13040,8824,2181,961
20,96188.0,14415,5124,1833,3401
21,84951.0,16085,1965,3698,616
22,66558.0,10718,7928,674,2154
23,45659.0,7068,7096,3705,2298
24,,12478,7157,1916,1159
25,40435.0,19923,9120,2487,3737
26,83911.0,13120,2508,2272,2622
27,58067.0,12820,1871,4766,4319
28,99224.0,16901,1863,1574,3843
29,31379.0,6786,4055,1091,3050
30,57624.0,10715,6133,3478,2086
31,87745.0,14649,3682,4482,3247
32,81805.0,19706,6278,2910,1134
33,42516.0,18871,6448,1347,3382
34,54843.0,15106,1613,993,3311
35,35912.0,13269,2872,1045,4953
36,51514.0,16805,8723,2786,4515
37,87032.0,6308,8189,3197,3239
38,58797.0,13839,6386,4337,2384
39,36449.0,15379,7942,2040,2018
40,31725.0,13744,9759,1383,1121
41,39304.0,18285,1244,4456,2037
42,43663.0,13473,1020,3594,2837
43,42676.0,14473,9585,2865,2494
44,55192.0,15038,6767,3847,2570
45,54722.0,18671,4515,3571,2865
46,37446.0,15679,2910,4175,3345
47,34725.0,19605,9481,1452,3538
48,87632.0,18445,6882,3800,1354
49,96945.0,15985,9552,4235,3228
50,,16903,9076,3679,1415
51,95792.0,17391,2622,3463,631
52,94857.0,9861,5314,4527,1616
53,45704.0,19430,3453,3747,4093
54,80575.0,7776,3015,4915,1360
55,59902.0,6596,3800,3857,793
56,31195.0,5479,9772,3204,3188
57,83517.0,8312,7752,1537,1499
58,64012.0,11156,8453,570,2796
59,41415.0,16410,3853,3374,4185
60,69534.0,15155,3236,605,786
61,51686.0,12919,5176,1269,949
62,,11744,3155,2509,2838
63,62161.0,15334,6698,3440,3740
64,91313.0,8898,7829,2692,3203
65,32402.0,19628,9537,3995,3616
66,,7072,2886,4811,752
67,82551.0,14487,7471,4855,1919
68,43275.0,10624,9746,1433,2836
69,58182.0,18477,4770,1074,1735
70,,5938,9391,4430,1499
71,30909.0,13176,3940,4880,4260
72,95908.0,5761,4490,4587,4616
73,52620.0,12254,8899,3031,4911
74,64112.0,17941,1306,2919,3111
75,32431.0,6669,4075,569,1946
76,92175.0,12128,2656,4974,2670
77,,8862,8244,1802,3421
78,91264.0,7685,7611,4314,4183
79,61958.0,17091,7322,2849,2761
80,31695.0,11634,3692,754,2445
81,79932.0,6931,2764,2207,2353
82,74225.0,12308,1275,1333,1099
83,31403.0,8939,6271,3264,4635
84,,6126,8331,2971,3903
85,40839.0,16489,6025,4242,3490
86,95546.0,11021,5050,2535,4777
87,,17862,9080,2467,4860
88,,11437,4460,599,3318
89,81977.0,12039,4835,2352,1362
90,70232.0,18617,5278,3683,4555
91,,10373,2844,2855,1719
92,69963.0,6203,1071,611,4295
93,85872.0,9135,8386,3658,1027
94,43739.0,16964,7862,682,3422
95,93294.0,13711,8340,4352,3704
96,,18927,8635,664,1662
97,31789.0,12904,2043,2637,4064
98,49420.0,19881,4042,2523,1346
99,67606.0,7283,1814,954,2617
100,68640.0,9558,6622,2785,3586
101,74135.0,10347,8332,1041,2270
102,67067.0,12867,1309,3165,3783
103,88420.0,10944,7661,2949,2325
104,,13674,5227,4433,3823
105,69851.0,7477,2877,3386,945
106,68262.0,8093,3486,4792,1525
107,88643.0,13534,7886,4404,2271
108,51534.0,12207,5835,2188,1859
109,62872.0,18484,1794,2137,518
110,37689.0,14654,7786,4582,1060
111,99103.0,14394,5014,2390,971
112,67412.0,14813,8392,3705,527
113,77734.0,19468,6353,977,1059
114,99930.0,15590,4407,2866,3155
115,52228.0,16788,1974,3026,3736
116,41319.0,19841,5237,866,1444
117,36475.0,11227,8248,2336,4448
118,44728.0,18280,5369,2215,4156
119,,8535,9050,512,3563
120,91756.0,16069,1464,1035,2479
121,98775.0,12004,6327,3739,3216
122,68699.0,15582,6415,2817,1315
123,66821.0,16543,9115,4542,2826
124,60615.0,7913,1287,875,2830
125,43746.0,14381,4195,2224,1502
126,52745.0,7340,2992,756,2042
127,31245.0,16772,8450,2764,4704
128,54853.0,14795,3925,949,1729
129,,16489,2120,1393,3805
130,,10289,6310,3712,3029
131,86893.0,5597,1446,1684,1930
132,98049.0,13836,7627,3723,4412
133,88182.0,17735,3896,1808,2032
134,,12145,1721,1416,2392
135,69749.0,7902,3163,647,3624
136,85654.0,11645,4980,2614,1921
137,85381.0,13955,5502,4516,890
138,88601.0,12694,2725,4440,3318
139,45082.0,9830,9885,4571,2369
140,44648.0,12546,4413,3295,3460
141,30364.0,12368,1494,942,1695
142,64568.0,14834,1947,3444,3105
143,37436.0,15489,1022,4436,1357
144,56754.0,17888,2128,898,3727
145,90194.0,15364,1557,1651,2016
146,54544.0,7160,4730,4292,1653
147,90180.0,18268,6341,3495,1342
148,93295.0,10878,7998,2716,2182
149,42638.0,12663,8182,2207,794
150,95715.0,8749,8034,3831,1144
151,99409.0,19485,2656,2487,4133
152,47157.0,7922,5173,3068,2635
153,75565.0,11486,6441,660,610
154,99996.0,13112,9998,4935,1083
155,95888.0,13771,4312,4404,3725
156,86095.0,8804,9645,4073,1986
157,94947.0,9878,3324,3677,2148
158,,7368,6595,2325,2881
159,73988.0,13093,6984,4424,605
160,46865.0,8932,3511,2123,4053
161,57213.0,17819,1362,1676,2194
162,85954.0,16552,4454,4220,2233
163,87450.0,10608,3798,3720,881
164,34477.0,11635,5620,3759,3236
165,92222.0,17899,4255,630,4856
166,36533.0,11395,2217,4062,1816
167,79395.0,11101,2485,1999,3202
168,53396.0,14292,6349,3288,4574
169,,14862,8195,4208,1406
170,,18703,8750,2207,1162
171,41173.0,10531,7079,2269,962
172,88905.0,15412,9035,1818,3402
173,68097.0,9970,2507,3879,1442
174,,11344,2003,3273,657
175,41254.0,13408,7403,3490,3809
176,34018.0,5375,1925,3544,1826
177,35192.0,12887,9275,875,3217
178,32015.0,6609,7583,3536,3168
179,98916.0,17298,4927,1160,3068
180,58343.0,17031,1985,1903,3892
181,99306.0,7939,5231,1240,2606
182,35829.0,9062,6302,803,1147
183,64381.0,6613,6291,1585,3822
184,48263.0,11578,1908,3679,3438
185,83260.0,12851,6051,1710,2983
186,73306.0,8679,3586,3534,4741
187,88418.0,18105,2331,728,3406
188,30148.0,12540,7851,3619,3525
189,31754.0,14488,2806,2354,1875
190,56745.0,12074,1805,767,2323
191,85833.0,8996,5147,3274,744
192,50140.0,9786,1071,3349,2848
193,90653.0,10695,1027,4849,1367
194,,18820,9660,2634,3361
195,61075.0,14347,4983,3959,979
196,60697.0,11998,9955,2769,2962
197,84544.0,19235,8055,1489,2435
198,39795.0,18071,7690,4992,3873
199,94555.0,7366,4832,1437,3521
200,82204.0,16083,1559,939,3692
201,99754.0,15164,8957,2858,587
202,94860.0,19164,4831,2507,1740
203,81529.0,11764,8344,3845,1072
204,41672.0,13976,6171,4630,1313
205,84238.0,17684,1078,4243,678
206,65950.0,14273,5929,1018,2225
207,41009.0,18791,4647,768,662
208,77096.0,15225,2031,4685,3140
209,49544.0,6614,8381,1888,1505
210,85728.0,9555,3072,2194,2848
211,59381.0,19396,7911,3773,2921
212,55287.0,7416,7088,1889,3255
213,94610.0,12288,2484,4365,4798
214,98122.0,11862,6838,3529,4642
215,98184.0,17833,2550,2835,4241
216,,8653,6497,4174,1717
217,75312.0,11639,5682,1000,2974
218,82726.0,5496,2829,2161,1429
219,52211.0,5504,4751,2599,816
220,59480.0,12699,7081,602,2002
221,77780.0,16578,7601,3246,920
222,,18380,5459,3776,4858
223,72503.0,15400,4856,3585,1949
224,87893.0,10733,7182,4037,927
225,76193.0,13055,7083,1827,896
226,91358.0,18005,8970,2974,1295
227,52117.0,8216,3094,2179,606
228,89056.0,10688,7238,4246,4549
229,88706.0,16858,4032,3062,597
230,39476.0,14600,2548,4663,2403
231,85006.0,9364,9559,3817,4070
232,,17269,1064,2936,3801
233,93155.0,11042,4299,807,542
234,97321.0,6477,5849,4496,2077
235,,18829,6639,1589,4690
236,60177.0,9960,3035,2894,4783
237,73013.0,7397,6674,4504,884
238,83450.0,13301,3228,1166,3971
239,77928.0,16746,6620,4663,4077
240,75382.0,19742,1596,2734,3738
241,30760.0,13841,4606,1736,2196
242,54142.0,11194,4889,2123,2634
243,47290.0,12570,4506,1874,4392
244,30364.0,12730,2395,3811,3036
245,86921.0,6499,8529,676,4821
246,49797.0,18398,9303,1853,2892
247,62535.0,12235,1452,3428,4315
248,76300.0,5595,8336,1125,795
249,77176.0,5978,3631,3154,913
250,,5730,3186,4108,2495
251,37939.0,5056,6967,4215,503
252,72029.0,7243,7374,4774,677
253,,10879,6358,894,1245
254,40447.0,6701,5348,1668,4854
255,76940.0,12229,2459,697,1151
256,49642.0,6286,2942,1468,4389
257,97643.0,13303,6422,4408,3771
258,37928.0,17998,6196,3655,2982
259,78002.0,14393,1061,3004,789
260,,5947,2494,1776,1302
261,43313.0,9121,2180,4667,3030
262,31559.0,11553,7268,4818,733
263,80893.0,5757,3788,1769,907
264,45167.0,19866,5636,1864,1193
265,68598.0,19088,5721,1423,1669
266,37523.0,16580,6710,970,2977
267,79777.0,10651,8702,3516,931
268,58439.0,12273,1105,2554,3044
269,43285.0,15033,5087,4783,1482
270,40973.0,8535,4925,2551,3660
