Employee ID,Basic Salary,Tax,Bonus,Travel Allowance,Others
1,45795,-560,2381,5492,3761
2,30860,16293,2098,2461,1851
3,106820,-1928,4426,4805,3041
4,84886,8598,4655,3363,2757
5,36265,9287,8938,3156,2895
6,112386,8965,10101,2994,2429
7,67194,14508,1187,5563,2059
8,117498,4519,13236,5067,1701
9,74131,8380,12948,4505,2893
10,90263,21984,11207,4063,1580
11,46023,6865,6409,1422,1202
12,71090,3125,3092,4732,3376
13,97221,-1709,12836,4962,1399
14,94820,-967,3130,3459,3979
15,30769,105,6242,683,1635
16,89735,12087,9549,3858,177
17,92955,3133,6647,1898,2931
18,94925,11958,6185,3296,3510
19,97969,704,6776,1036,2821
20,35311,22808,11614,6198,3727
21,113104,2848,13449,1773,1632
22,83707,16592,8913,3467,337
23,115305,7975,8547,3549,2096
24,58693,1924,8823,1596,3527
25,101932,22208,8355,1805,377
26,55658,15212,7465,1415,3189
27,114478,14614,13737,3581,623
28,48431,-4512,2497,4747,4375
29,32747,2114,14324,1528,4318
30,89150,20923,11350,5814,3222
31,95725,23257,3555,2477,4675
32,114654,10740,6409,3854,1897
33,65773,-1827,11534,3011,2231
34,97435,24165,3951,770,915
35,86886,-3333,2238,1686,2794
36,96803,21213,10165,5055,542
37,61551,-886,5727,4700,3240
38,41394,-1447,4965,4264,242
39,99092,2761,6686,6306,4387
40,33890,-4000,10242,6805,1510
41,71606,10638,4701,2898,4573
42,110038,20426,3780,5029,634
43,117313,12772,8398,4735,1816
44,40627,450,2588,6090,3464
45,38792,-1288,13070,4682,1132
46,103969,-3633,3368,2211,3442
47,73001,3189,6789,2730,1510
48,106552,4013,1436,628,4600
49,53897,11838,3828,1769,1272
50,98148,21200,2556,4172,988
51,53483,14156,8570,2101,3438
52,78555,-1274,14364,5265,4617
53,47159,18616,13050,4470,1741
54,110077,22723,8480,4744,571
55,65920,23665,10496,5580,3040
56,97121,-194,11576,5447,646
57,99479,-2810,1182,6052,4826
58,119475,4108,8190,1127,3697
59,49457,7178,7687,4297,2925
60,96557,-2125,6565,6088,3823
61,107189,592,8241,2544,463
62,108953,12824,8651,4052,2266
63,82995,7592,6575,5479,3409
64,70757,3927,2589,2841,645
65,39692,23144,10779,6384,3340
66,75758,17443,9851,3714,4829
67,102409,9437,1159,749,2036
68,101211,6530,13145,3425,1062
69,95697,2010,7555,5543,3105
70,67065,6207,10203,1474,3906
71,62606,18501,9244,1825,982
72,41534,22465,14333,1483,3940
73,70397,20537,14341,1388,970
74,31016,-2011,7846,3437,4711
75,119789,7040,3307,2617,3085
76,85591,4218,2228,3172,965
77,119812,17612,8226,5470,4409
78,53247,23441,6590,1826,3303
79,54300,1471,7919,970,2997
80,104065,-2137,6585,2487,2344
81,112798,5693,10227,590,118
82,39268,21523,12894,1029,741
83,116807,-3823,7046,5256,3183
84,42185,-240,13237,4559,429
85,93704,-4989,5945,5334,965
86,116779,16636,8927,3273,873
87,69099,11353,13641,5467,4587
88,38571,15783,14386,2186,4832
89,68044,6556,8016,691,2454
90,81214,22598,8758,2486,3438
91,91228,6563,14752,4123,3618
92,78984,9051,6086,2685,3042
93,70774,6022,10456,4940,2667
94,32568,3234,8161,1508,1774
95,92592,20519,2884,4283,2783
96,97563,21966,2809,4798,3480
97,32695,16829,4167,5168,839
98,78190,11173,12989,4787,1645
99,35258,22121,11533,2552,4664
100,117538,21987,7352,6509,2359
101,69504,8178,12606,3808,1235
102,63159,1570,14399,2216,973
103,43986,20580,10009,810,4655
104,91858,19596,7056,6699,2400
105,42666,-4594,3437,5038,851
106,68660,4206,7468,1760,953
107,33561,-569,10080,5465,3832
108,56854,21414,6951,4432,2383
109,94505,22764,6276,3768,1429
110,82251,16627,9859,1084,577
111,52662,1542,8818,6190,2826
112,38392,18320,5728,3299,3191
113,60535,3906,3624,6133,4330
114,108603,-854,6738,859,4605
115,82256,7046,5232,6319,1369
116,119135,7611,6793,3366,4281
117,65222,8076,5523,6673,2703
118,107373,11524,6571,6398,1569
119,109575,24141,10010,2511,477
120,114651,-118,11380,6751,1780
121,93335,9113,10298,5439,341
122,40965,8645,3224,4506,1019
123,54538,1012,9389,2125,169
124,100592,12347,11863,3264,4024
125,38110,2151,7091,1390,2186
126,109309,19948,12684,6587,2107
127,57266,23211,11640,6578,900
128,82992,22117,9662,5555,2879
129,112948,-1390,7361,6064,855
130,36910,4884,2948,6057,2095
131,30206,1894,14216,1231,1421
132,117054,8467,13091,4461,2430
133,117897,18695,11202,5201,209
134,53419,11489,12992,3004,1116
135,80636,16923,8094,1114,3965
136,80015,4873,14193,4306,124
137,84268,7289,7318,6600,2938
138,117939,7208,13310,2219,837
139,48141,5828,4796,5269,279
140,110356,18171,13180,5866,331
141,101910,-2863,1234,2087,2017
142,86044,22992,14412,2111,442
143,97214,15829,10120,1396,4672
144,63827,14914,4607,6058,2723
145,85820,-3714,9043,777,554
146,92623,10710,1522,5147,4484
147,111734,6371,6904,2136,4725
148,105450,10945,12715,2658,2376
149,52299,24734,13718,2932,695
150,73585,2052,5888,4404,3974
151,94044,-1346,10821,5356,4630
152,72557,18486,6832,3762,4597
153,79080,13743,13820,1949,2769
154,32693,10600,8122,5000,2235
155,99163,19489,6842,5954,4064
156,55939,3636,14963,1732,1665
157,78925,1441,2316,4617,408
158,72941,16431,12049,1177,442
159,51834,19611,14200,3158,535
160,48047,16587,2124,2528,276
161,56105,4667,6621,5827,238
162,105766,7149,6423,6651,293
163,45707,-3202,3587,4258,3357
164,51976,21421,10215,6404,3335
165,74262,4600,6672,5124,1042
166,53776,16675,2378,2537,4720
167,60080,495,4374,3149,3979
168,96842,4900,2519,6272,3213
169,91373,8673,6777,1156,3062
170,36776,6130,8935,665,4936
171,85016,17668,7093,5444,1053
172,39474,10222,9418,5091,1402
173,88053,18669,6355,1089,3481
174,51959,-3700,5968,5024,2980
175,35530,18253,10083,3321,2287
176,33748,4435,6574,4758,4987
177,43545,23552,5072,1762,645
178,96199,14481,14324,571,2027
179,64766,-384,3257,4016,4252
180,103530,11393,11980,5250,104
181,91087,24655,9588,4080,3581
182,98840,5617,14411,768,3353
183,84384,752,11270,2276,1462
184,81005,4852,13936,2962,1920
185,76576,22207,5424,1768,2763
186,69353,1295,4237,1515,3038
187,92003,16199,14770,3222,1373
188,113211,12456,4893,1583,3426
189,82733,-1775,14239,4601,3759
190,95318,24530,3005,5577,3045
191,119474,-3684,3016,906,3118
192,53664,17083,12363,6549,1231
193,97172,7337,11860,6669,4863
194,115616,1807,11070,3576,2736
195,56736,18058,10388,1485,3129
196,30854,-1317,2772,4103,3119
197,68623,2227,9353,4985,4477
198,37392,-1727,4976,1209,3259
199,85680,18384,2751,3118,353
200,76717,-4855,9967,6067,428
201,117092,10,8430,5349,2691
202,80859,11035,8170,6789,2930
203,56309,-1960,14339,1911,3144
204,117455,4654,7469,5868,1520
205,93734,24252,10131,5121,3501
206,100467,21160,4220,1985,2992
207,82662,11866,1539,6656,754
208,42688,14563,14109,3450,859
209,55342,12633,2461,5151,1898
210,67157,24344,6184,3434,3071
211,97863,12014,9547,4614,4611
212,82083,9996,12796,5170,3526
213,95733,11336,12515,1503,354
214,119045,3853,1234,2966,3923
215,64698,6695,2548,2966,1976
216,110623,-2148,8480,2438,2857
217,52671,11014,11288,2439,2724
218,55184,22042,5213,2135,4221
219,72107,-4013,11293,2198,3104
220,116202,2622,2673,6765,4616
221,81663,18711,7708,5027,3834
222,45708,21122,14355,2591,1344
223,79811,20225,8982,2395,1108
224,32811,4160,3100,6539,4414
225,86250,22213,12849,5936,1610
226,102082,12484,13845,4740,2059
227,64754,1652,12788,3898,2608
228,41411,20016,4748,1573,4858
229,32911,2421,4173,5684,2782
230,97270,16400,2815,2902,1089
231,113763,-4231,4841,5395,4384
232,38680,12727,11197,3712,354
233,114896,9114,9016,4537,4263
234,113879,-642,8011,1651,4811
235,101295,23305,5493,2945,4552
236,118614,23482,1674,2456,355
237,41111,21153,9088,5058,1107
238,67504,18164,9578,6370,1855
239,31802,23584,3158,6641,2671
240,38155,17986,3661,4407,4008
241,103656,24670,3064,1307,3097
242,69384,6543,13043,686,2903
243,77254,24371,4253,6339,3865
244,51918,13733,5979,5327,4479
245,115981,23178,8703,6531,3483
246,90713,699,13828,5809,198
247,60306,12625,13458,6007,296
248,46646,-3875,9931,5024,2629
249,76843,5793,2401,1807,977
250,46371,20766,4259,2784,1968
251,107371,1764,11469,5813,2765
252,32049,16485,13096,5906,1488
253,61616,7323,4923,5366,2515
254,50932,8031,5214,1257,669
255,59855,9052,4227,4731,2737
256,91434,7640,12023,5387,1165
257,102694,2843,12950,4354,521
258,73016,9210,11704,4766,2983
259,37400,11456,11343,2706,1304
260,72642,16856,12867,6844,644
261,45151,5106,3745,4058,4266
262,81407,189,7091,2080,3739
263,96690,-2528,4866,1461,1323
264,34499,22622,12956,4347,3272
265,36295,12091,14993,4075,867
266,89040,13188,6818,1375,3757
267,42183,1704,3222,2918,754
268,59299,-1287,3792,4698,2546
269,42874,51,10889,1501,320
270,62711,5756,14732,5744,3766
271,35539,-2525,12654,3884,4377
272,83351,-1390,5063,4566,4502
273,91267,-745,2524,3345,2669
274,78354,9484,13952,1981,1113
275,32557,22399,9224,3801,2151
276,68360,18781,7198,1157,4085
277,112018,-3265,5025,5816,4999
278,32200,21161,3566,3280,4410
279,98497,3258,3803,922,3119
280,76975,22637,13088,4181,3781
281,51357,2979,4709,4766,1543
282,107505,-2572,7155,6816,4296
283,32869,7345,14839,3210,3110
284,91135,2426,1719,952,672
285,80108,3533,7516,2897,1432
286,68467,249,5579,2475,4853
287,53328,22350,1972,2157,4102
288,116831,16675,4718,3041,3234
289,33987,14201,8395,3575,4186
290,88871,22237,5402,3664,325
291,52399,20808,5552,3466,4300
292,76214,15258,3207,2553,2097
293,116416,21977,5426,787,871
294,100271,4686,7919,6237,4624
295,74064,9109,13512,3717,533
296,100091,15595,12222,4354,3199
297,70818,-4339,12767,1947,2829
298,75525,7075,14767,6509,3507
299,49830,23195,12308,1107,3240
300,47429,9788,12477,5052,965
301,36893,5060,14370,2264,2893
302,109909,10836,9835,1725,3011
303,77333,5526,13903,1735,2515
304,33436,-1626,9386,1529,350
305,104290,20592,13188,3171,3857
306,106213,23982,9680,4462,4756
307,35895,-4793,3204,5042,1018
308,49738,-2335,11849,5430,1273
309,60746,13877,6345,3677,3303
310,79377,18197,4276,4222,532
311,78404,-4368,2102,5406,935
312,84045,21678,6243,6020,2346
313,69790,22535,7614,6007,2362
314,35600,-1917,10433,5554,997
315,70764,24328,9707,1975,3732
316,104543,8711,14913,3396,4667
317,75714,5123,6223,1308,3915
318,86835,15103,9584,1478,346
319,103744,2123,1630,2963,2529
320,86491,5754,12908,1225,1090
321,48589,-3321,11039,3001,3410
322,73484,10901,11847,3862,1026
323,112989,-4764,10171,1716,3538
324,66212,2446,13721,4551,2707
325,73525,-557,12594,2697,1174
326,77202,18154,13063,6499,4122
327,62635,10463,7683,3306,3899
328,93208,24301,1277,1278,4884
329,63828,21116,1232,1472,3251
330,48711,17483,10744,3310,3538
331,33420,23519,6690,6134,4673
332,30301,24943,14401,6012,3591
333,75236,3555,8659,2623,806
334,96235,13752,12462,1098,3164
335,84240,11669,11601,3841,853
336,95726,-4852,12704,724,687
337,40492,8395,1025,6149,1434
338,36102,15421,14705,6756,1947
339,80336,17933,8468,6894,4034
340,115314,18505,7410,1340,4026
341,56641,24127,9652,2314,3417
342,64584,21342,4764,5309,4120
343,62745,-105,7599,1606,3255
