Employee ID,Basic Salary,Tax,Bonus,Travel Allowance,Others
1,101255,29,2381,5492,3761
2,111496,8958,2098,2461,1851
3,one lakh twenty thousand three undred and nighteen,15502,4426,4805,3041
4,45624,8806,4655,3363,2757
5,40352,9196,8938,3156,2895
6,110539,2121,10101,2994,2429
7,39223,3009,1187,5563,2059
8,108254,20203,13236,5067,1701
9,96851,7739,12948,4505,2893
10,80044,24599,11207,4063,1580
11,117089,4059,6409,1422,1202
12,115000,11285,3092,4732,3376
13,61419,2910,12836,4962,1399
14,43767,14674,3130,3459,3979
15,102002,18354,6242,683,1635
16,61028,23039,9549,3858,177
17,77953,21151,6647,1898,2931
18,87965,12161,6185,3296,3510
19,99776,11116,6776,1036,2821
20,61459,13051,11614,6198,3727
21,112331,17626,13449,1773,1632
22,54689,17096,8913,3467,337
23,110446,13054,8547,3549,2096
24,97982,14070,8823,1596,3527
25,33346,9485,8355,1805,377
26,75179,19250,7465,1415,3189
27,70517,14413,13737,3581,623
28,99678,11855,2497,4747,4375
29,111606,6153,14324,1528,4318
30,102623,5587,11350,5814,3222
31,119288,8827,3555,2477,4675
32,111171,24097,6409,3854,1897
33,88916,6861,11534,3011,2231
34,117754,10804,3951,770,915
35,78575,13979,2238,1686,2794
36,75039,1297,10165,5055,542
37,79955,14745,5727,4700,3240
38,110260,357,4965,4264,242
39,85871,16300,6686,6306,4387
40,90678,14433,10242,6805,1510
41,61351,21486,4701,2898,4573
42,90693,16624,3780,5029,634
43,61433,10796,8398,4735,1816
44,104797,23238,2588,6090,3464
45,109015,18210,13070,4682,1132
46,45804,8115,3368,2211,3442
47,75101,19942,6789,2730,1510
48,90115,3860,1436,628,4600
49,108363,12443,3828,1769,1272
50,74700,4447,2556,4172,988
51,107576,20523,8570,2101,3438
52,49477,16521,14364,5265,4617
53,46127,20118,13050,4470,1741
54,116718,1967,8480,4744,571
55,56049,6579,10496,5580,3040
56,42473,4849,11576,5447,646
57,112245,24718,1182,6052,4826
58,91836,7167,8190,1127,3697
59,72464,22326,7687,4297,2925
60,43714,7466,6565,6088,3823
61,90878,22789,8241,2544,463
62,64208,12349,8651,4052,2266
63,117104,21899,6575,5479,3409
64,104683,24435,2589,2841,645
65,111803,2019,10779,6384,3340
66,71514,6174,9851,3714,4829
67,35136,15689,1159,749,2036
68,61516,7092,13145,3425,1062
69,106982,19233,7555,5543,3105
70,93878,"17576",10203,1474,3906
71,75099,10505,9244,1825,982
72,43188,2355,14333,1483,3940
73,81188,18890,14341,1388,970
74,35560,333,7846,3437,4711
75,66397,2562,3307,2617,3085
76,107193,14776,2228,3172,965
77,68082,1795,8226,5470,4409
78,114376,15270,6590,1826,3303
79,71430,253,7919,970,2997
80,80522,3657,6585,2487,2344
81,70397,23886,10227,590,118
82,106860,9615,12894,1029,741
83,55247,3237,7046,5256,3183
84,113094,3331,13237,4559,429
85,49943,1027,5945,5334,965
86,69460,14199,8927,3273,873
87,71986,18550,13641,5467,4587
88,74514,13283,14386,2186,4832
89,110908,12186,8016,691,2454
90,82385,16853,8758,2486,3438
91,42631,13781,14752,4123,3618
92,97008,15120,6086,2685,3042
93,56955,24044,10456,4940,2667
94,77367,24289,8161,1508,1774
95,60802,5983,2884,4283,2783
96,100408,1093,2809,4798,3480
97,73341,4789,4167,5168,839
98,43691,2912,12989,4787,1645
99,34753,15111,11533,2552,4664
100,31833,21873,7352,6509,2359
101,38645,14332,12606,3808,1235
102,70024,16564,14399,2216,973
103,110598,12259,10009,810,4655
104,39635,9412,7056,6699,2400
105,50064,20526,3437,5038,851
106,39940,20007,7468,1760,953
107,65169,21113,10080,5465,3832
108,108647,16006,6951,4432,2383
109,75200,21643,6276,3768,1429
110,86329,24413,9859,1084,577
111,81158,9755,8818,6190,2826
112,59739,4684,5728,3299,3191
113,47793,7854,3624,6133,4330
114,113682,20016,6738,859,4605
115,63677,22357,5232,6319,1369
116,96296,6417,6793,3366,4281
117,53022,17946,5523,6673,2703
118,101148,13127,6571,6398,1569
119,57265,17797,10010,2511,477
120,30530,10698,11380,6751,1780
121,39551,22888,10298,5439,341
122,58394,17401,3224,4506,1019
123,72987,15428,9389,2125,169
124,78984,3654,11863,3264,4024
125,98096,14997,7091,1390,2186
126,114097,23226,12684,6587,2107
127,100639,13742,11640,6578,900
128,54090,8949,9662,5555,2879
129,113457,11971,7361,6064,855
130,32781,15391,2948,6057,2095
131,47330,22482,14216,1231,1421
132,35257,19968,13091,4461,2430
133,88642,16565,11202,5201,209
134,84249,6829,12992,3004,1116
135,81663,10487,8094,1114,3965
136,64956,2667,14193,4306,124
137,45615,9991,7318,6600,2938
138,30881,16287,13310,2219,837
139,31847,6173,4796,5269,279
140,81127,21805,13180,5866,331
141,117646,9691,1234,2087,2017
142,67336,15208,14412,2111,442
143,111850,13235,10120,1396,4672
144,69931,13663,4607,6058,2723
145,73924,9176,9043,777,554
146,52966,18748,1522,5147,4484
147,74023,15072,6904,2136,4725
148,41320,5516,12715,2658,2376
149,87841,19689,13718,2932,695
150,95125,18599,5888,4404,3974
151,97752,16509,10821,5356,4630
152,119937,2620,6832,3762,4597
153,91858,20599,13820,1949,2769
154,88714,17835,8122,5000,2235
155,41780,9200,6842,5954,4064
156,106230,11896,14963,1732,1665
157,100345,21931,2316,4617,408
158,112098,23087,12049,1177,442
159,31929,23753,14200,3158,535
160,44244,19514,2124,2528,276
161,41116,696,6621,5827,238
162,117954,2270,6423,6651,293
163,111243,9226,3587,4258,3357
164,113301,16060,10215,6404,3335
165,65895,9727,6672,5124,1042
166,108636,9005,2378,2537,4720
167,53867,24885,4374,3149,3979
168,31208,15084,2519,6272,3213
169,74085,19795,6777,1156,3062
170,95572,20102,8935,665,4936
171,95234,14816,7093,5444,1053
172,113748,6717,9418,5091,1402
173,41252,21304,6355,1089,3481
174,115261,18428,5968,5024,2980
175,37006,1116,10083,3321,2287
176,119595,17540,6574,4758,4987
177,100883,15179,5072,1762,645
178,62171,988,14324,571,2027
179,58517,10658,3257,4016,4252
180,54274,5587,11980,5250,104
181,63577,18212,9588,4080,3581
182,57648,15803,14411,768,3353
183,99654,24256,11270,2276,1462
184,47910,16271,13936,2962,1920
