Employee ID,Basic Salary,Tax,Bonus,Travel Allowance,Others
1,2970,-560,2381,5492,3761
2,68890,16293,2098,2461,1851
3,37300,-1928,4426,4805,3041
4,41915,8598,4655,3363,2757
5,119516,9287,8938,3156,2895
6,55147,8965,10101,2994,2429
7,56064,14508,1187,5563,2059
8,46535,4519,13236,5067,1701
9,-16240,8380,12948,4505,2893
10,82715,21984,11207,4063,1580
11,105491,6865,6409,1422,1202
12,110992,3125,3092,4732,3376
13,42399,-1709,12836,4962,1399
14,42278,-967,3130,3459,3979
15,93286,105,6242,683,1635
16,117967,12087,9549,3858,177
17,73515,3133,6647,1898,2931
18,32142,11958,6185,3296,3510
19,107157,704,6776,1036,2821
20,72930,22808,11614,6198,3727
21,77812,2848,13449,1773,1632
22,50063,16592,8913,3467,337
23,110990,7975,8547,3549,2096
24,-7753,1924,8823,1596,3527
25,-2397,22208,8355,1805,377
26,82099,15212,7465,1415,3189
27,-19473,14614,13737,3581,623
28,-14151,-4512,2497,4747,4375
29,30314,2114,14324,1528,4318
30,-2770,20923,11350,5814,3222
31,72229,23257,3555,2477,4675
32,52495,10740,6409,3854,1897
33,81390,-1827,11534,3011,2231
34,71937,24165,3951,770,915
35,93723,-3333,2238,1686,2794
36,-16677,21213,10165,5055,542
37,111517,-886,5727,4700,3240
38,62945,-1447,4965,4264,242
39,100801,2761,6686,6306,4387
40,61947,-4000,10242,6805,1510
41,114308,10638,4701,2898,4573
42,41897,20426,3780,5029,634
43,98636,12772,8398,4735,1816
44,-6513,450,2588,6090,3464
45,57384,-1288,13070,4682,1132
46,-6845,-3633,3368,2211,3442
47,-8745,3189,6789,2730,1510
48,100860,4013,1436,628,4600
49,113051,11838,3828,1769,1272
50,105596,21200,2556,4172,988
51,54543,14156,8570,2101,3438
52,15094,-1274,14364,5265,4617
53,-10266,18616,13050,4470,1741
54,19605,22723,8480,4744,571
55,57932,23665,10496,5580,3040
56,104109,-194,11576,5447,646
57,7881,-2810,1182,6052,4826
58,20122,4108,8190,1127,3697
59,15297,7178,7687,4297,2925
60,91513,-2125,6565,6088,3823
61,16680,592,8241,2544,463
62,63452,12824,8651,4052,2266
63,31044,7592,6575,5479,3409
64,70502,3927,2589,2841,645
65,2152,23144,10779,6384,3340
66,64738,17443,9851,3714,4829
67,112267,9437,1159,749,2036
68,84533,6530,13145,3425,1062
69,5433,2010,7555,5543,3105
70,116377,6207,10203,1474,3906
71,28648,18501,9244,1825,982
72,22113,22465,14333,1483,3940
73,83504,20537,14341,1388,970
74,110431,-2011,7846,3437,4711
75,13062,7040,3307,2617,3085
76,51633,4218,2228,3172,965
77,21604,17612,8226,5470,4409
78,117750,23441,6590,1826,3303
79,12121,1471,7919,970,2997
80,105015,-2137,6585,2487,2344
81,66940,5693,10227,590,118
82,-3506,21523,12894,1029,741
83,26235,-3823,7046,5256,3183
84,112720,-240,13237,4559,429
85,61213,-4989,5945,5334,965
86,-3511,16636,8927,3273,873
87,57281,11353,13641,5467,4587
88,116890,15783,14386,2186,4832
89,88190,6556,8016,691,2454
90,104613,22598,8758,2486,3438
91,84222,6563,14752,4123,3618
92,-18684,9051,6086,2685,3042
93,40046,6022,10456,4940,2667
94,58643,3234,8161,1508,1774
95,77504,20519,2884,4283,2783
96,95594,21966,2809,4798,3480
97,44042,16829,4167,5168,839
98,108295,11173,12989,4787,1645
99,94430,22121,11533,2552,4664
100,105782,21987,7352,6509,2359
101,30094,8178,12606,3808,1235
102,27719,1570,14399,2216,973
103,101103,20580,10009,810,4655
104,108826,19596,7056,6699,2400
105,30478,-4594,3437,5038,851
106,23677,4206,7468,1760,953
107,-8416,-569,10080,5465,3832
108,-17894,21414,6951,4432,2383
109,5223,22764,6276,3768,1429
110,15706,16627,9859,1084,577
111,40369,1542,8818,6190,2826
112,-9985,18320,5728,3299,3191
113,62164,3906,3624,6133,4330
114,31500,-854,6738,859,4605
115,43925,7046,5232,6319,1369
116,70979,7611,6793,3366,4281
117,76355,8076,5523,6673,2703
118,34909,11524,6571,6398,1569
119,-8435,24141,10010,2511,477
120,7597,-118,11380,6751,1780
121,45623,9113,10298,5439,341
122,54300,8645,3224,4506,1019
123,71837,1012,9389,2125,169
124,29314,12347,11863,3264,4024
125,21965,2151,7091,1390,2186
126,77449,19948,12684,6587,2107
127,47957,23211,11640,6578,900
128,8317,22117,9662,5555,2879
129,99191,-1390,7361,6064,855
130,46753,4884,2948,6057,2095
131,15242,1894,14216,1231,1421
132,112001,8467,13091,4461,2430
133,86262,18695,11202,5201,209
